zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
uncore,8.018921982,0.006714000000002329,0.0008373796414984074,0.0,35.049226,0.006714000000002329,35.05594
package-0,9.020845606,15.024802999992971,1.6655931607084447,1.6283944221269822,102981.397133,13.39181099999405,102996.421936
dram,9.021008944,3.97881100000086,0.4410760253799042,0.439797284703699,29499.587322,3.537771999999677,29503.566133
core,9.021151998,1.3862269999999626,0.1536719123964822,0.1199613035353607,6705.126572,1.265926999999465,6706.512799
uncore,9.021295735,0.006714000000002329,0.0007442887924058377,0.0,35.049226,0.006714000000002329,35.05594
package-0,10.022165752,16.60676899999089,1.6570362305024573,1.5799453904586624,102981.397133,15.024802999992971,102998.003902
dram,10.022427515,4.419055999998818,0.4409368189935878,0.43968268497563323,29499.587322,3.97881100000086,29504.006378
core,10.023172607,1.4503139999997074,0.14471345049755158,0.0640051431181545,6705.126572,1.3862269999999626,6706.576886
uncore,10.023418203,0.006714000000002329,0.000669928102908125,0.0,35.049226,0.006714000000002329,35.05594
package-0,11.025420176,18.188185999999405,1.6497020512283862,1.5764308705501409,102981.397133,16.60676899999089,102999.585319
dram,11.025735072,4.861621000000014,0.4409580007591347,0.44116961448065356,29499.587322,4.419055999998818,29504.448943
core,11.025916209,1.518855999999687,0.1377630434788883,0.06832589046951792,6705.126572,1.4503139999997074,6706.645428
uncore,11.026077042,0.006714000000002329,0.0006089721961250886,0.0,35.049226,0.006714000000002329,35.05594
package-0,12.027895856,19.896432999987155,1.6542236885636845,1.7039499449376079,102981.397133,18.188185999999405,103001.293566
dram,12.028178061,5.30272100000002,0.4408773518373773,0.43999042335059185,29499.587322,4.861621000000014,29504.890043
core,12.028432732,1.710627999999815,0.14222455652839075,0.19128960205587164,6705.126572,1.518855999999687,6706.8372
uncore,12.028687584,0.006714000000002329,0.0005582135172182672,0.0,35.049226,0.006714000000002329,35.05594
package-0,13.030644863,21.44379299999855,1.6456737400159525,1.543119707660306,102981.397133,19.896432999987155,103002.840926
dram,13.030926548,5.74369900000238,0.44079210309763955,0.43976957039296444,29499.587322,5.30272100000002,29505.331021
core,13.031188497,1.7429160000001502,0.13375763757158468,0.03219951990557223,6705.126572,1.710627999999815,6706.869488
uncore,13.031447154,0.006714000000002329,0.0005152564889276671,0.0,35.049226,0.006714000000002329,35.05594
package-0,14.033394128,22.995729999995092,1.6386694942222555,1.5476532675414998,102981.397133,21.44379299999855,103004.392863
dram,14.033626154,6.185043000001315,0.4407444897186225,0.44012578069194136,29499.587322,5.74369900000238,29505.772365
