zone,time_elapsed,power_j,watts,watts_since_last,start_power,prev_power,prev_power_reading
package-0,22.022309385,465.9101709999959,21.156339659351545,24.552641588365788,33902.944687,441.2941339999961,34368.854858
core,22.022390655,365.60615400000097,16.60167229011465,19.694085477418376,26566.32213,345.8612179999982,26931.928284
uncore,22.022442185,15.727350999999999,0.7141573642483222,0.8466469406662742,1572.511085,14.878517999999985,1588.238436
package-0,23.02296981,490.9610909999974,21.32488260483396,25.03408250169026,33902.944687,465.9101709999959,34393.905778
core,23.023046963,385.70879799999966,16.75325191299457,20.089132391067707,26566.32213,365.60615400000097,26952.030928
uncore,23.023096033,16.51350400000001,0.7172636297454743,0.7856246022481591,1572.511085,15.727350999999999,1589.024589
package-0,24.023690034,510.47833099999843,21.249023751927105,19.503739453040424,33902.944687,490.9610909999974,34413.423018
core,24.023806996,400.672974000001,16.678297636264052,14.953824917531925,26566.32213,385.70879799999966,26966.995104
uncore,24.02386981,17.246621000000005,0.7179028707282896,0.7326098852396004,1572.511085,16.51350400000001,1589.757706
package-0,25.024688223,530.9937959999952,21.218844816293135,20.49457594445453,33902.944687,510.47833099999843,34433.938483
core,25.02475964,416.63520699999935,16.649003941163247,15.945980091681891,26566.32213,400.672974000001,26982.957337
uncore,25.024815264,17.9771589999998,0.7183785383790562,0.7297941587630659,1572.511085,17.246621000000005,1590.488244
package-0,26.025468453,551.1182429999972,21.176175904605778,20.10921049252231,33902.944687,530.9937959999952,34454.06293
core,26.025583023,432.18881599999804,16.606429759610236,15.541833139530862,26566.32213,416.63520699999935,26998.510946
uncore,26.027496325,18.715111999999863,0.7191097533427098,0.7373942851988976,1572.511085,17.9771589999998,1591.226197
package-0,27.028225406,571.8454579999961,21.157387400489466,20.669764567560023,33902.944687,551.1182429999972,34474.790145
core,27.028301508,448.64031199999954,16.598989729949935,16.40589674513451,26566.32213,432.18881599999804,27014.962442
uncore,27.028355391,19.15112399999998,0.7085616296401777,0.4348034884876662,1572.511085,18.715111999999863,1591.662209
